invoice_id,order_id,amount,status
INV00001,ORD00001,10000,paid
INV00002,ORD00002,500,paid
INV00003,ORD00003,1000,paid
INV00004,ORD00004,1000,paid
INV00005,ORD00005,10000,paid
INV00006,ORD00006,500,paid
INV00007,ORD00007,5000,paid
INV00008,ORD00008,500,paid
INV00009,ORD00009,1000,paid
INV00010,ORD00010,7500,paid
INV00011,ORD00011,500,paid
INV00012,ORD00012,1000,paid
INV00013,ORD00013,5000,paid
INV00014,ORD00014,5000,paid
INV00015,ORD00015,2500,paid
INV00016,ORD00016,15000,paid
INV00017,ORD00017,10000,paid
INV00018,ORD00018,2500,paid
INV00019,ORD00019,1000,paid
INV00020,ORD00020,15000,paid
INV00021,ORD00021,500,paid
INV00022,ORD00022,5000,paid
INV00023,ORD00023,2500,paid
INV00024,ORD00024,7500,paid
INV00025,ORD00025,15000,paid
INV00026,ORD00026,10000,paid
INV00027,ORD00027,7500,paid
INV00028,ORD00028,5000,paid
INV00029,ORD00029,7500,paid
INV00030,ORD00030,15000,paid
INV00031,ORD00031,15000,paid
INV00032,ORD00032,7500,paid
INV00033,ORD00033,10000,paid
INV00034,ORD00034,500,paid
INV00035,ORD00035,15000,paid
INV00036,ORD00036,500,paid
INV00037,ORD00037,15000,paid
INV00038,ORD00038,5000,paid
INV00039,ORD00039,5000,paid
INV00040,ORD00040,1000,paid
INV00041,ORD00041,2500,paid
INV00042,ORD00042,10000,paid
INV00043,ORD00043,10000,paid
INV00044,ORD00044,7500,paid
INV00045,ORD00045,7500,paid
INV00046,ORD00046,1000,paid
INV00047,ORD00047,5000,paid
INV00048,ORD00048,10000,paid
INV00049,ORD00049,1000,paid
INV00050,ORD00050,15000,paid
INV00051,ORD00051,1000,paid
INV00052,ORD00052,15000,paid
INV00053,ORD00053,5000,paid
INV00054,ORD00054,500,paid
INV00055,ORD00055,7500,paid
INV00056,ORD00056,1000,paid
INV00057,ORD00057,5000,paid
INV00058,ORD00058,1000,paid
INV00059,ORD00059,1000,paid
INV00060,ORD00060,10000,paid
INV00061,ORD00061,7500,paid
INV00062,ORD00062,10000,paid
INV00063,ORD00063,5000,paid
INV00064,ORD00064,5000,paid
INV00065,ORD00065,1000,paid
INV00066,ORD00066,7500,paid
INV00067,ORD00067,500,paid
INV00068,ORD00068,15000,paid
INV00069,ORD00069,1000,paid
INV00070,ORD00070,15000,paid
INV00071,ORD00071,7500,paid
INV00072,ORD00072,5000,paid
INV00073,ORD00073,7500,paid
INV00074,ORD00074,7500,paid
INV00075,ORD00075,7500,paid
INV00076,ORD00076,10000,paid
INV00077,ORD00077,10000,paid
INV00078,ORD00078,15000,paid
INV00079,ORD00079,15000,paid
INV00080,ORD00080,500,paid
INV00081,ORD00081,5000,paid
INV00082,ORD00082,5000,paid
INV00083,ORD00083,10000,paid
INV00084,ORD00084,7500,paid
INV00085,ORD00085,7500,paid
INV00086,ORD00086,15000,paid
INV00087,ORD00087,15000,paid
INV00088,ORD00088,7500,paid
INV00089,ORD00089,1000,paid
INV00090,ORD00090,15000,paid
INV00091,ORD00091,7500,paid
INV00092,ORD00092,500,paid
INV00093,ORD00093,2500,paid
INV00094,ORD00094,500,paid
INV00095,ORD00095,2500,paid
INV00096,ORD00096,1000,paid
INV00097,ORD00097,1000,paid
INV00098,ORD00098,500,paid
INV00099,ORD00099,10000,paid
INV00100,ORD00100,15000,paid
