payment_id,customer_id,order_id,amount,status,timestamp
PAY00001,CUST0001,ORD00001,10000,captured,2026-08-04 00:00:00
PAY00002,CUST0002,ORD00002,500,captured,2026-08-09 00:00:00
PAY00003,CUST0003,ORD00003,1000,captured,2026-08-08 00:00:00
PAY00004,CUST0004,ORD00004,1000,captured,2026-08-04 00:00:00
PAY00005,CUST0005,ORD00005,10000,captured,2026-08-18 00:00:00
PAY00006,CUST0006,ORD00006,500,captured,2026-08-19 00:00:00
PAY00007,CUST0007,ORD00007,5000,captured,2026-08-02 00:00:00
PAY00008,CUST0008,ORD00008,500,captured,2026-08-03 00:00:00
PAY00009,CUST0009,ORD00009,1000,captured,2026-08-08 00:00:00
PAY00010,CUST0010,ORD00010,7500,captured,2026-08-20 00:00:00
PAY00011,CUST0011,ORD00011,500,captured,2026-08-18 00:00:00
PAY00012,CUST0012,ORD00012,1000,captured,2026-08-18 00:00:00
PAY00013,CUST0013,ORD00013,5000,captured,2026-08-08 00:00:00
PAY00014,CUST0014,ORD00014,5000,captured,2026-08-19 00:00:00
PAY00015,CUST0015,ORD00015,2500,captured,2026-08-01 00:00:00
PAY00016,CUST0016,ORD00016,15000,captured,2026-08-06 00:00:00
PAY00017,CUST0017,ORD00017,10000,captured,2026-08-14 00:00:00
PAY00018,CUST0018,ORD00018,2500,captured,2026-08-09 00:00:00
PAY00019,CUST0019,ORD00019,1000,captured,2026-08-07 00:00:00
PAY00020,CUST0020,ORD00020,15000,captured,2026-08-11 00:00:00
PAY00021,CUST0021,ORD00021,500,captured,2026-08-03 00:00:00
PAY00022,CUST0022,ORD00022,5000,captured,2026-08-04 00:00:00
PAY00023,CUST0023,ORD00023,2500,captured,2026-08-12 00:00:00
PAY00024,CUST0024,ORD00024,7500,captured,2026-08-09 00:00:00
PAY00025,CUST0025,ORD00025,15000,captured,2026-08-02 00:00:00
PAY00026,CUST0026,ORD00026,10000,captured,2026-08-15 00:00:00
PAY00027,CUST0027,ORD00027,7500,captured,2026-08-04 00:00:00
PAY00028,CUST0028,ORD00028,5000,captured,2026-08-03 00:00:00
PAY00029,CUST0029,ORD00029,7500,captured,2026-08-10 00:00:00
PAY00030,CUST0030,ORD00030,15000,captured,2026-08-20 00:00:00
PAY00031,CUST0031,ORD00031,15000,captured,2026-08-12 00:00:00
PAY00032,CUST0032,ORD00032,7500,captured,2026-08-07 00:00:00
PAY00033,CUST0033,ORD00033,10000,captured,2026-08-03 00:00:00
PAY00034,CUST0034,ORD00034,500,captured,2026-08-08 00:00:00
PAY00035,CUST0035,ORD00035,15000,captured,2026-08-10 00:00:00
PAY00036,CUST0036,ORD00036,500,captured,2026-08-08 00:00:00
PAY00037,CUST0037,ORD00037,15000,captured,2026-08-04 00:00:00
PAY00038,CUST0038,ORD00038,5000,captured,2026-08-09 00:00:00
PAY00039,CUST0039,ORD00039,5000,captured,2026-08-12 00:00:00
PAY00040,CUST0040,ORD00040,1000,captured,2026-08-12 00:00:00
PAY00041,CUST0041,ORD00041,2500,captured,2026-08-07 00:00:00
PAY00042,CUST0042,ORD00042,10000,captured,2026-08-09 00:00:00
PAY00043,CUST0043,ORD00043,10000,captured,2026-08-03 00:00:00
PAY00044,CUST0044,ORD00044,7500,captured,2026-08-06 00:00:00
PAY00045,CUST0045,ORD00045,7500,captured,2026-08-08 00:00:00
PAY00046,CUST0046,ORD00046,1000,captured,2026-08-15 00:00:00
PAY00047,CUST0047,ORD00047,5000,captured,2026-08-09 00:00:00
PAY00048,CUST0048,ORD00048,10000,captured,2026-08-18 00:00:00
PAY00049,CUST0049,ORD00049,1000,captured,2026-08-11 00:00:00
PAY00050,CUST0050,ORD00050,15000,captured,2026-08-02 00:00:00
PAY00051,CUST0051,ORD00051,1000,captured,2026-08-02 00:00:00
PAY00052,CUST0052,ORD00052,15000,captured,2026-08-11 00:00:00
PAY00053,CUST0053,ORD00053,5000,captured,2026-08-09 00:00:00
PAY00054,CUST0054,ORD00054,500,captured,2026-08-07 00:00:00
PAY00055,CUST0055,ORD00055,7500,captured,2026-08-11 00:00:00
PAY00056,CUST0056,ORD00056,1000,captured,2026-08-16 00:00:00
PAY00057,CUST0057,ORD00057,5000,captured,2026-08-15 00:00:00
PAY00058,CUST0058,ORD00058,1000,captured,2026-08-09 00:00:00
PAY00059,CUST0059,ORD00059,1000,captured,2026-08-08 00:00:00
PAY00060,CUST0060,ORD00060,10000,captured,2026-08-18 00:00:00
PAY00061,CUST0061,ORD00061,7500,captured,2026-08-09 00:00:00
PAY00062,CUST0062,ORD00062,10000,captured,2026-08-19 00:00:00
PAY00063,CUST0063,ORD00063,5000,captured,2026-08-19 00:00:00
PAY00064,CUST0064,ORD00064,5000,captured,2026-08-12 00:00:00
PAY00065,CUST0065,ORD00065,1000,captured,2026-08-05 00:00:00
PAY00066,CUST0066,ORD00066,7500,captured,2026-08-16 00:00:00
PAY00067,CUST0067,ORD00067,500,captured,2026-08-02 00:00:00
PAY00068,CUST0068,ORD00068,15000,captured,2026-08-04 00:00:00
PAY00069,CUST0069,ORD00069,1000,captured,2026-08-06 00:00:00
PAY00070,CUST0070,ORD00070,15000,captured,2026-08-14 00:00:00
PAY00071,CUST0071,ORD00071,7500,captured,2026-08-03 00:00:00
PAY00072,CUST0072,ORD00072,5000,captured,2026-08-13 00:00:00
PAY00073,CUST0073,ORD00073,7500,captured,2026-08-15 00:00:00
PAY00074,CUST0074,ORD00074,7500,captured,2026-08-09 00:00:00
PAY00075,CUST0075,ORD00075,7500,captured,2026-08-01 00:00:00
PAY00076,CUST0076,ORD00076,10000,captured,2026-08-04 00:00:00
PAY00077,CUST0077,ORD00077,10000,captured,2026-08-18 00:00:00
PAY00078,CUST0078,ORD00078,15000,captured,2026-08-09 00:00:00
PAY00079,CUST0079,ORD00079,15000,captured,2026-08-11 00:00:00
PAY00080,CUST0080,ORD00080,500,captured,2026-08-10 00:00:00
PAY00081,CUST0081,ORD00081,5000,captured,2026-08-06 00:00:00
PAY00082,CUST0082,ORD00082,5000,captured,2026-08-01 00:00:00
PAY00083,CUST0083,ORD00083,10000,captured,2026-08-09 00:00:00
PAY00084,CUST0084,ORD00084,7500,captured,2026-08-06 00:00:00
PAY00085,CUST0085,ORD00085,7500,captured,2026-08-04 00:00:00
PAY00086,CUST0086,ORD00086,15000,captured,2026-08-10 00:00:00
PAY00087,CUST0087,ORD00087,15000,captured,2026-08-17 00:00:00
PAY00088,CUST0088,ORD00088,7500,captured,2026-08-07 00:00:00
PAY00089,CUST0089,ORD00089,1000,captured,2026-08-12 00:00:00
PAY00090,CUST0090,ORD00090,15000,captured,2026-08-06 00:00:00
PAY00091,CUST0091,ORD00091,7500,captured,2026-08-17 00:00:00
PAY00092,CUST0092,ORD00092,500,captured,2026-08-20 00:00:00
PAY00093,CUST0093,ORD00093,2500,captured,2026-08-16 00:00:00
PAY00094,CUST0094,ORD00094,500,captured,2026-08-04 00:00:00
PAY00095,CUST0095,ORD00095,2500,captured,2026-08-10 00:00:00
PAY00096,CUST0096,ORD00096,1000,captured,2026-08-02 00:00:00
PAY00097,CUST0097,ORD00097,1000,captured,2026-08-19 00:00:00
PAY00098,CUST0098,ORD00098,500,captured,2026-08-03 00:00:00
PAY00099,CUST0099,ORD00099,10000,captured,2026-08-16 00:00:00
PAY00100,CUST0100,ORD00100,15000,captured,2026-08-03 00:00:00
