settlement_id,payment_id,amount,status,settlement_date
SET00001,PAY00001,10000.0,settled,2026-08-05
SET00002,PAY00002,500.0,settled,2026-08-10
SET00003,PAY00003,1000.0,settled,2026-08-09
SET00004,PAY00004,1000.0,settled,2026-08-05
SET00005,PAY00005,10000.0,settled,2026-08-19
SET00006,PAY00006,500.0,settled,2026-08-20
SET00007,PAY00007,4900.0,settled,2026-08-03
SET00008,PAY00008,500.0,settled,2026-08-04
SET00009,PAY00009,1000.0,settled,2026-08-09
SET00010,PAY00010,7500.0,settled,2026-08-21
SET00011,PAY00011,500.0,settled,2026-08-20
SET00012,PAY00012,1000.0,settled,2026-08-19
SET00013,PAY00013,5000.0,settled,2026-08-09
SET00014,PAY00014,4900.0,settled,2026-08-20
SET00015,PAY00015,2500.0,settled,2026-08-02
SET00016,PAY00016,15000.0,settled,2026-08-07
SET00017,PAY00017,10000.0,settled,2026-08-15
SET00018,PAY00018,2500.0,settled,2026-08-10
SET00019,PAY00019,1000.0,settled,2026-08-08
SET00020,PAY00020,15000.0,settled,2026-08-12
SET00021,PAY00021,490.0,settled,2026-08-04
SET00022,PAY00022,5000.0,settled,2026-08-06
SET00023,PAY00023,2500.0,settled,2026-08-13
SET00024,PAY00024,7500.0,settled,2026-08-10
SET00025,PAY00025,15000.0,settled,2026-08-03
SET00026,PAY00026,10000.0,settled,2026-08-16
SET00027,PAY00027,7500.0,settled,2026-08-05
SET00028,PAY00028,4900.0,settled,2026-08-04
SET00029,PAY00029,7500.0,settled,2026-08-11
SET00030,PAY00030,15000.0,settled,2026-08-21
SET00031,PAY00031,15000.0,settled,2026-08-13
SET00032,PAY00032,7500.0,settled,2026-08-08
SET00033,PAY00033,10000.0,settled,2026-08-05
SET00034,PAY00034,500.0,settled,2026-08-09
SET00035,PAY00035,14700.0,settled,2026-08-11
SET00036,PAY00036,500.0,settled,2026-08-09
SET00037,PAY00037,15000.0,settled,2026-08-05
SET00038,PAY00038,5000.0,settled,2026-08-10
SET00039,PAY00039,5000.0,settled,2026-08-13
SET00040,PAY00040,1000.0,settled,2026-08-13
SET00041,PAY00041,2500.0,settled,2026-08-08
SET00042,PAY00042,9800.0,settled,2026-08-10
SET00043,PAY00043,10000.0,settled,2026-08-04
SET00044,PAY00044,7500.0,settled,2026-08-08
SET00045,PAY00045,7500.0,settled,2026-08-09
SET00046,PAY00046,1000.0,settled,2026-08-16
SET00047,PAY00047,5000.0,settled,2026-08-10
SET00048,PAY00048,10000.0,settled,2026-08-19
SET00049,PAY00049,980.0,settled,2026-08-12
SET00050,PAY00050,15000.0,settled,2026-08-03
SET00051,PAY00051,1000.0,settled,2026-08-03
SET00052,PAY00052,15000.0,settled,2026-08-12
SET00053,PAY00053,5000.0,settled,2026-08-10
SET00054,PAY00054,500.0,settled,2026-08-08
SET00055,PAY00055,7500.0,settled,2026-08-13
SET00056,PAY00056,980.0,settled,2026-08-17
SET00057,PAY00057,5000.0,settled,2026-08-16
SET00058,PAY00058,1000.0,settled,2026-08-10
SET00059,PAY00059,1000.0,settled,2026-08-09
SET00060,PAY00060,10000.0,settled,2026-08-19
SET00061,PAY00061,7500.0,settled,2026-08-10
SET00062,PAY00062,10000.0,settled,2026-08-20
SET00063,PAY00063,4900.0,settled,2026-08-20
SET00064,PAY00064,5000.0,settled,2026-08-13
SET00065,PAY00065,1000.0,settled,2026-08-06
SET00066,PAY00066,7500.0,settled,2026-08-18
SET00067,PAY00067,500.0,settled,2026-08-03
SET00068,PAY00068,15000.0,settled,2026-08-05
SET00069,PAY00069,1000.0,settled,2026-08-07
SET00070,PAY00070,14700.0,settled,2026-08-15
SET00071,PAY00071,7500.0,settled,2026-08-04
SET00072,PAY00072,5000.0,settled,2026-08-14
SET00073,PAY00073,7500.0,settled,2026-08-16
SET00074,PAY00074,7500.0,settled,2026-08-10
SET00075,PAY00075,7500.0,settled,2026-08-02
SET00076,PAY00076,10000.0,settled,2026-08-05
SET00077,PAY00077,9800.0,settled,2026-08-20
SET00078,PAY00078,15000.0,settled,2026-08-10
SET00079,PAY00079,15000.0,settled,2026-08-12
SET00080,PAY00080,500.0,settled,2026-08-11
SET00081,PAY00081,5000.0,settled,2026-08-07
SET00082,PAY00082,5000.0,settled,2026-08-02
SET00083,PAY00083,10000.0,settled,2026-08-10
SET00084,PAY00084,7350.0,settled,2026-08-07
SET00085,PAY00085,7500.0,settled,2026-08-05
SET00086,PAY00086,15000.0,settled,2026-08-11
SET00087,PAY00087,15000.0,settled,2026-08-18
SET00088,PAY00088,7500.0,settled,2026-08-09
SET00089,PAY00089,1000.0,settled,2026-08-13
SET00090,PAY00090,15000.0,settled,2026-08-07
SET00091,PAY00091,7350.0,settled,2026-08-18
SET00092,PAY00092,500.0,settled,2026-08-21
SET00093,PAY00093,2500.0,settled,2026-08-17
SET00094,PAY00094,500.0,settled,2026-08-05
SET00095,PAY00095,2500.0,settled,2026-08-11
SET00096,PAY00096,1000.0,settled,2026-08-03
SET00097,PAY00097,1000.0,settled,2026-08-20
SET00098,PAY00098,490.0,settled,2026-08-04
SET00099,PAY00099,10000.0,settled,2026-08-18
SET00100,PAY00100,15000.0,settled,2026-08-04
